artist;title;year;id;popularity;acousticness;danceability;energy;instrumentalness;mode;tempo;valence;duration_ms;preview_url;genre;language
Dawn;Candida;1971;0wwnl3KUmxcvQE2dK13xQU;2;0.264;0.718;0.433;1.18e-06;1;;0.853;187000;https://p.scdn.co/mp3-preview/37eaa299084eb1fdeae3b4e08d18fe7b3479a447?cid=516c2d970434462eb2b843d7317ab577;Pop;English
George Harrison;My Sweet Lord;1971;1chu8wc9zbNqTQ2ahROys1;73;0.0705;0.537;0.685;0;0;;0.542;281226;;Rock;English
Jeanette;Soy rebelde;1971;5SPaaSuEC5ykb2EDj6Bgtl;35;0.856;0.366;0.367;0.129;0;;0.359;194533;;Pop;Spanish
Joan Manuel Serrat;Mediterraneo;1971;7Bewui7KtaMzROeteRitRz;58;0.599;0.545;0.59;0;0;;0.583;205226;https://p.scdn.co/mp3-preview/7966cc6a963f529d65f55074031adda70a9f5d05?cid=516c2d970434462eb2b843d7317ab577;Singer/Songwriter;Spanish
Joan Manuel Serrat;Qué va a ser de ti;1971;1yhdRrgE0E8f4gs0wQKu60;41;0.773;0.278;0.356;0;1;;0.515;278106;https://p.scdn.co/mp3-preview/f2ad6669b6d220b6ac66be4d1f71b0ed2bedd371?cid=516c2d970434462eb2b843d7317ab577;Singer/Songwriter;Spanish
José Feliciano;Que será;1971;2b1ty0NOIDD964JK4n8cJe;38;0.583;0.272;0.78;0;1;;0.696;207800;https://p.scdn.co/mp3-preview/d7b305156dfd480b2bce04cfb03054b52001f980?cid=516c2d970434462eb2b843d7317ab577;Pop;Spanish
José y Manuel;Mi pequeña hermana;1971;1Ba4JRi2kRxQyr4zxzIi9y;1;0.185;0.522;0.906;0;0;;0.72;154933;https://p.scdn.co/mp3-preview/0aa292b52c463dd655b0c98358a471fd8a42b8fa?cid=516c2d970434462eb2b843d7317ab577;Pop;Spanish
Juan Pardo;A Marián niña;1971;64TPqnryarB8YnXsxwYe0B;3;0.129;0.486;0.63;0;1;;0.634;244306;https://p.scdn.co/mp3-preview/0477d183885dc80e52742e5785b6892c6aba9e84?cid=516c2d970434462eb2b843d7317ab577;Pop;Spanish
Juan Pardo;Cuando te enamores;1971;4tGV2gooQfraaVTLefENj4;6;0.0261;0.487;0.784;0;1;;0.731;212000;https://p.scdn.co/mp3-preview/9042efbb02fdacbae64847255d82fb9d6c5cb6be?cid=516c2d970434462eb2b843d7317ab577;Pop;Spanish
Karina;El hijo de María;1971;5Wyjh9OpWDE2fylhIHKOUv;1;0.902;0.355;0.438;1.28e-05;1;;0.405;184333;https://p.scdn.co/mp3-preview/602d86fa3a05f29e6e744394a39e92fbdfcfe81e?cid=516c2d970434462eb2b843d7317ab577;Pop;Spanish
Karina;En un mundo nuevo;1971;3S46JQujpHNreKgktdrDBK;26;0.677;0.392;0.539;0;0;;0.434;189892;https://p.scdn.co/mp3-preview/f6956663e80db26830e742f91e23635c514b56e1?cid=516c2d970434462eb2b843d7317ab577;Pop;Spanish
Karina;Yo te diré;1971;39Gj2ZC76fFqaDt50Iw1jT;8;0.538;0.505;0.58;1.93e-06;0;;0.408;190850;https://p.scdn.co/mp3-preview/44d4776891e9cec983363e14729c2a42b2971a2d?cid=516c2d970434462eb2b843d7317ab577;Pop;Spanish
Leandro;El hombre del tanque rosa;1971;0XdXh7TbSytboNhUJnKuyI;0;0.0106;0.479;0.815;0;1;;0.738;202173;https://p.scdn.co/mp3-preview/1442c9febe01fa59f89811767bbdc866c60ad431?cid=516c2d970434462eb2b843d7317ab577;Pop;Spanish
Lorenzo Santamaría;Rosy;1971;1XO0ZofaSpRysNgn5b2j7W;14;0.0435;0.678;0.682;5.95e-05;1;;0.526;233264;https://p.scdn.co/mp3-preview/c72493856c551300507ee3c4aaa6d0f392deb538?cid=516c2d970434462eb2b843d7317ab577;Pop;Spanish
Los Ángeles;Una vez juré;1971;3yNd2v4meSyoyXb7bzY9Ai;2;0.0206;0.614;0.766;3.33e-06;1;;0.822;152465;https://p.scdn.co/mp3-preview/8c03852e75c721915fe28bdd15eb4badf36c16de?cid=516c2d970434462eb2b843d7317ab577;Pop;Spanish
Los Brincos;Más alegre;1971;47CxcN1r9vABiQviFBkBgF;0;2.53e-05;0.531;0.713;2.95e-06;1;;0.833;175706;https://p.scdn.co/mp3-preview/e69aab16bf22a680f0d93d0a9418fea211f959e5?cid=516c2d970434462eb2b843d7317ab577;Rock;Spanish
Los Brincos;Pareces gitana;1971;0kGUGdpYUdRw1P1g8ta009;3;0.339;0.462;0.655;0;0;;0.911;128560;https://p.scdn.co/mp3-preview/f2f8af26fc936320577831bd47648e78d0676b29?cid=516c2d970434462eb2b843d7317ab577;Rock;Spanish
Los Diablos;Fin De Semana;1971;55AGzMDWD4ENRG2MRP7BAC;27;0.662;0.617;0.701;0.000244;1;;0.965;165000;https://p.scdn.co/mp3-preview/26464f558d579fbb8c2224ec9fb613b7c2df5c89?cid=516c2d970434462eb2b843d7317ab577;Pop;Spanish
Los Íberos;Angelina;1971;0U6BIw1V7NepNthqrPCXyY;2;0.236;0.719;0.841;0.000188;0;;0.81;169200;https://p.scdn.co/mp3-preview/41f6dea3ec4513d2080e70d1f3ff28f54ca06b6f?cid=516c2d970434462eb2b843d7317ab577;Rock;Spanish
Los Panchos;La paloma;1971;6pSw72gfUTWNXaii0hGVRQ;8;0.675;0.52;0.427;0;1;;0.577;155253;https://p.scdn.co/mp3-preview/f4bad4e653768b06dd4bbd4f088c677a5165e6fe?cid=516c2d970434462eb2b843d7317ab577;Bolero;Spanish
Máquina!;Sun bring the summer;1971;3RI7QqguTQ95acjQyYkKrg;0;0.847;0.538;0.362;0.218;0;;0.5;275866;https://p.scdn.co/mp3-preview/37f04f129d0424ecb71f9aeecae062abd6f3e71f?cid=516c2d970434462eb2b843d7317ab577;Rock;Instrumental
Mari Trini;Yo no soy esa;1971;5glmLWBDGlaHHjs9KOZH9d;23;0.0693;0.578;0.633;0;0;;0.729;152906;https://p.scdn.co/mp3-preview/4d22956bf03e38569554a395a2810a37157d3238?cid=516c2d970434462eb2b843d7317ab577;Pop;Spanish
